,이름,PIP,이름,LSO,이름,Go/Fo,이름,Qs%,득점지원,이름,구원방어율,Rel%,WPA
68,,,,,,,고우석,,0.00,김상수,5.09,11.1,-0.04
69,,,,,,,강재민,,0.00,문용익,4.50,33.3,0.28
70,,,,,,,김재윤,,0.00,홍정우,3.45,41.7,-0.21
71,,,,,,,오승환,,0.00,하재훈,4.00,0.0,-0.11
72,,,,,,,장현식,,0.00,박종기,4.28,36.4,-0.56
73,,,,,,,홍건희,,0.00,신재영,4.56,100.0,-0.08
74,,,,,,,김택형,,0.00,전상현,3.46,0.0,0.44
75,,,,,,,김강률,,0.00,임정호,4.15,14.3,-0.67
76,,,,,,,김원중,,0.00,함덕주,2.84,33.3,-0.20
77,,,,,,,김대유,,0.00,이승헌,1.29,100.0,0.14
78,,,,,,,최준용,,0.00,윤호솔,4.62,35.7,0.62
79,,,,,,,이정용,,0.00,장지수,3.14,0.0,-0.07
80,,,,,,,이용찬,,0.00,진명호,4.81,38.9,-0.65
81,,,,,,,서진용,,0.00,김준형,3.14,50.0,0.07
82,,,,,,,김태훈,,0.00,김기중,1.69,100.0,0.17
83,,,,,,,주권,,0.00,송윤준,3.55,12.5,-0.03
84,,,,,,,구승민,,0.00,채지선,3.12,75.0,-0.10
85,,,,,,,박시영,,0.00,서동민,5.13,10.0,0.08
86,,,,,,,조상우,,0.00,김인범,0.00,0.0,0.03
87,,,,,,,류진욱,,0.00,이상영,3.18,57.1,-0.04
88,,,,,,,장지훈,,0.00,노성호,4.74,50.0,-0.58
89,,,,,,,주현상,,0.00,이준영,4.77,34.3,-0.50
90,,,,,,,우규민,,0.00,윤명준,4.73,14.7,-0.44
91,,,,,,,이현승,,0.00,김지용,0.00,,0.02
92,,,,,,,홍성민,,0.00,수아레즈,0.00,,0.12
93,,,,,,,김성민,,0.00,심창민,5.08,28.2,-0.43
94,,,,,,,김재웅,,0.00,김건우,2.25,0.0,0.04
95,,,,,,,최성훈,,0.00,김이환,4.80,20.0,0.12
96,,,,,,,원종현,,0.00,박주홍,0.00,0.0,0.10
97,,,,,,,진해수,,0.00,김태경,1.80,,0.01
98,,,,,,,조현우,,0.00,이승현,5.26,23.5,-0.32
99,,,,,,,박민호,,0.00,한승혁,2.46,33.3,0.08
100,,,,,,,이승진,,0.00,문경찬,4.94,12.5,-0.19
101,,,,,,,이창재,,0.00,이상민,4.74,38.9,0.31
102,,,,,,,백승현,,0.00,박건우,0.00,,0.01
103,,,,,,,권휘,,0.00,정인욱,2.46,66.7,0.01
104,,,,,,,이대은,,0.00,김대우,5.09,50.0,-0.71
105,,,,,,,홍상삼,,0.00,김종수,4.82,27.8,-0.21
106,,,,,,,안영명,,0.00,신재웅,4.32,40.0,0.03
107,,,,,,,윤정현,,0.00,이태양,5.33,50.0,-0.18
108,,,,,,,송은범,,0.00,박주성,4.91,66.7,-0.52
109,,,,,,,장민기,,0.00,김대우,5.25,27.3,-0.43
110,,,,,,,최금강,,0.00,김도규,5.79,20.7,0.51
111,,,,,,,임창민,,0.00,이민우,3.48,100.0,-0.04
112,,,,,,,김재열,,0.00,한현희,3.86,0.0,-0.09
113,,,,,,,박진우,,0.00,지명성,0.00,,0.02
114,,,,,,,최지광,,0.00,김민우,0.00,,0.09
115,,,,,,,김진영,,0.00,전유수,3.38,71.4,-0.07
116,,,,,,,박치국,,0.00,박선우,0.00,,0.00
117,,,,,,,김상수,,0.00,노시훈,3.86,0.0,-0.03
118,,,,,,,문용익,,0.00,김범수,5.12,21.2,-1.19
119,,,,,,,홍정우,,0.00,배성근,0.00,0.0,0.00
120,,,,,,,하재훈,,0.00,고영표,3.00,,0.03
121,,,,,,,전상현,,0.00,김주온,0.00,,0.00
122,,,,,,,임정호,,0.00,임준형,4.26,,-0.00
123,,,,,,,윤호솔,,0.00,이건욱,0.00,0.0,0.01
124,,,,,,,장지수,,0.00,이재익,4.50,60.0,-0.23
125,,,,,,,진명호,,0.00,카펜터,0.00,,0.08
126,,,,,,,김준형,,0.00,정동윤,0.00,,0.00
127,,,,,,,송윤준,,0.00,김유신,4.50,100.0,-0.19
128,,,,,,,채지선,,0.00,정진호,0.00,0.0,0.00
129,,,,,,,서동민,,0.00,이우석,5.59,0.0,0.06
130,,,,,,,김인범,,0.00,박승주,4.15,0.0,-0.00
131,,,,,,,노성호,,0.00,문동욱,0.00,,0.00
132,,,,,,,윤명준,,0.00,김태훈,4.97,20.5,-0.06
133,,,,,,,김지용,,0.00,최세창,0.00,,0.00
134,,,,,,,심창민,,0.00,이승호,4.34,20.0,-0.29
135,,,,,,,이승현,,0.00,김건태,5.40,100.0,-0.27
136,,,,,,,문경찬,,0.00,김현준,5.49,60.0,-0.24
137,,,,,,,이상민,,0.00,박웅,5.40,40.0,-0.02
138,,,,,,,박건우,,0.00,이우찬,5.66,20.0,-0.10
139,,,,,,,김대우,,0.00,윤성빈,0.00,,0.00
140,,,,,,,김종수,,0.00,차명진,0.00,,0.00
141,,,,,,,신재웅,,0.00,고효준,3.86,100.0,-0.14
142,,,,,,,박주성,,0.00,추재현,0.00,0.0,0.00
143,,,,,,,김도규,,0.00,김도윤,0.00,,0.00
