,이름,팀,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2루,피3루,피홈런,볼넷,고의사구,사구,탈삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,birth,pid
303,김진성,21N,42,0,0,0,2,4,1,9,37.2,34,30,174,43,10,0,7,18,3,1,37,0,2,7.17,5.06,1.62,63.3,89.9,-1.07,-1.25,1985-03-07,20062
172,김진수,21L,3,0,0,0,0,0,0,0,2.1,1,1,9,2,1,0,0,0,0,0,2,0,0,3.86,1.62,0.86,111.8,276.3,0.03,-0.04,1998-08-31,20063
100,김진영,21한,20,0,0,0,0,1,0,1,18.1,8,8,81,16,3,0,2,14,2,0,8,0,1,3.93,5.84,1.64,111.5,76.5,0.35,-0.10,1992-04-16,20064
136,김진욱,21롯,39,0,0,5,4,6,0,8,45.2,32,32,227,42,9,0,3,49,3,3,45,0,15,6.31,5.44,1.99,72.1,82.0,0.13,-1.26,2002-07-05,20065
244,김진호,21N,1,0,0,1,0,1,0,0,1.0,3,3,7,2,0,0,0,3,0,0,1,0,1,27.00,10.33,5.00,16.8,43.8,-0.19,-0.23,1998-06-07,20066
247,김창훈,21롯,6,0,0,0,0,0,0,0,8.0,10,10,41,13,4,0,1,6,0,0,6,0,0,11.25,5.71,2.38,40.4,78.2,-0.20,0.10,2001-11-09,20067
137,김태경,21N,7,0,0,3,0,0,0,0,15.0,8,8,63,11,4,0,1,9,0,1,10,0,1,4.80,4.87,1.33,94.6,92.6,0.13,-0.05,2001-04-07,20068
241,김태현,21N,6,0,0,0,0,0,0,0,5.1,8,7,32,5,0,0,0,7,0,4,3,0,3,11.81,8.40,2.25,38.4,53.2,-0.18,-0.04,1998-03-21,20069
224,김태형,21L,2,0,0,0,0,0,0,0,1.0,3,3,6,0,0,0,0,2,0,1,1,0,0,27.00,10.33,2.00,16.0,42.6,-0.12,0.01,1998-09-17,20070
159,김태훈,21S,65,0,0,0,2,4,1,16,58.0,35,32,269,55,5,0,7,39,3,9,49,1,4,4.97,5.54,1.62,90.4,82.1,0.05,-0.06,1990-05-19,20071
44,김태훈,21키,66,0,0,0,4,2,11,15,64.1,26,23,282,60,10,0,1,33,2,1,52,1,3,3.22,3.41,1.45,137.8,128.7,1.67,1.35,1992-03-02,20072
27,김택형,21S,59,0,0,0,5,1,7,4,75.1,23,20,316,61,11,0,3,42,5,3,62,0,3,2.39,3.80,1.37,187.8,118.9,2.83,2.25,1996-10-10,20073
297,김현수,21K,17,0,0,8,1,4,0,0,45.2,43,40,229,57,16,0,8,36,0,3,27,0,1,7.88,6.99,2.04,56.4,63.4,-0.86,-1.36,2000-07-10,20074
164,김현준,21K,19,0,0,0,0,1,0,2,19.2,13,12,83,15,1,0,4,12,0,0,19,0,0,5.49,5.88,1.37,81.0,75.4,0.05,-0.24,1997-06-05,20075
252,나균안,21롯,23,0,0,7,1,2,1,1,46.1,36,33,223,62,13,0,4,24,0,0,27,1,1,6.41,4.84,1.86,70.9,92.1,-0.22,-0.74,1998-03-16,20076
204,나원탁,21롯,2,0,0,0,0,0,0,0,2.0,3,3,10,1,0,1,0,3,0,0,3,0,1,13.50,4.83,2.00,33.7,92.2,-0.06,0.00,1994-08-20,20077
272,남재현,21K,5,0,0,1,0,1,0,1,8.0,13,13,44,10,2,0,2,10,0,0,5,0,1,14.63,9.08,2.50,30.4,48.8,-0.34,0.04,1996-09-13,20078
226,남지민,21한,3,0,0,3,0,1,0,0,7.1,6,6,41,9,2,0,1,7,0,3,3,0,0,7.36,8.38,2.18,59.5,53.2,-0.13,-0.24,2001-02-12,20079
218,남호,21두,5,0,0,0,0,1,0,0,2.2,3,3,13,3,1,0,0,3,0,0,2,0,0,10.13,5.21,2.25,42.6,85.1,-0.11,-0.15,2000-07-20,20080
