,이름,팀,G,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희플,타율,출루율,장타율,OPS,wOBA,wRC+,WAR*,WPA,birth,pid
7,알테어,21NCF,143,565,492,83,134,19,2,32,253,84,20,5,57,11,2,156,6,0,5,.272,.358,.514,.872,.393,132.0,4.91,2.11,1991-01-14,10157
27,양석환,21두1B,133,546,488,66,133,22,0,28,239,96,2,3,42,9,2,136,10,0,7,.273,.337,.490,.827,.373,130.3,3.10,1.93,1991-07-15,10158
4,양의지,21NDH,141,570,480,81,156,29,2,30,279,111,2,1,69,11,5,60,12,0,10,.325,.414,.581,.995,.443,165.4,5.74,5.64,1987-06-05,10159
290,예진원,21키CF,52,132,114,16,18,6,1,1,29,8,0,1,12,2,0,28,2,3,1,.158,.248,.254,.502,.240,32.5,-0.75,-1.33,1999-03-16,10160
206,오명진,21두,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.07,0.00,2001-09-04,10161
262,오선우,21KLF,9,16,15,1,1,0,0,0,1,0,0,0,1,0,0,9,0,0,0,.067,.125,.067,.192,.106,-57.0,-0.29,-0.32,1996-12-13,10162
214,오선진,21삼SS,23,46,42,5,9,0,0,0,9,2,0,0,3,1,0,8,2,0,0,.214,.283,.214,.497,.252,41.8,-0.08,-0.27,1989-07-07,10163
80,오윤석,21롯K2B,98,198,164,23,40,11,0,4,63,16,4,0,27,2,1,47,4,5,0,.244,.358,.384,.742,.343,99.2,0.80,-1.60,1992-02-24,10164
168,오장한,21N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,0.00,2002-05-20,10165
282,오재원,21두2B,45,79,72,6,12,3,0,0,15,5,2,0,6,0,0,18,3,0,1,.167,.228,.208,.436,.216,17.9,-0.43,-0.64,1985-02-09,10166
37,오재일,21삼1B,120,484,418,64,119,20,0,25,214,97,1,0,58,0,8,106,5,0,8,.285,.366,.512,.878,.390,129.2,2.80,3.43,1986-10-29,10167
175,오정환,21K2B,9,18,17,1,4,1,0,0,5,2,0,0,1,0,0,9,0,0,0,.235,.278,.294,.572,.274,53.2,-0.01,-0.02,1999-03-27,10168
173,오준혁,21SDH,26,50,46,7,10,2,0,2,18,5,0,0,4,0,0,15,2,0,0,.217,.280,.391,.671,.309,76.5,-0.00,-0.18,1992-03-11,10169
41,오지환,21LSS,134,532,464,62,118,19,2,8,165,57,12,6,54,5,0,82,11,4,5,.254,.335,.356,.691,.327,93.9,2.33,-0.53,1990-03-12,10170
79,오태곤,21S1B,122,253,235,47,63,10,0,9,100,35,9,4,14,2,0,52,4,1,1,.268,.314,.426,.739,.339,97.0,0.81,-0.33,1991-11-18,10171
181,오태양,21N,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.02,0.00,2002-04-25,10172
42,유강남,21LC,130,441,397,39,100,16,0,11,149,60,2,0,25,14,1,75,11,3,2,.252,.317,.375,.693,.323,93.3,2.20,-0.94,1992-07-15,10173
129,유민상,21K1B,24,74,60,7,14,2,0,1,19,6,0,0,8,6,0,18,1,0,0,.233,.378,.317,.695,.348,104.1,0.21,-0.18,1989-04-13,10174
196,유서준,21SCF,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.05,-0.00,1995-12-04,10175
289,유장혁,21한CF,34,112,98,11,14,5,0,1,22,7,2,1,8,2,0,39,2,2,2,.143,.218,.224,.443,.212,15.3,-0.72,-1.14,2000-05-30,10176
47,유한준,21KDH,104,336,281,30,87,16,0,5,118,42,1,0,44,7,5,34,12,0,4,.310,.411,.420,.831,.389,130.5,1.87,1.27,1981-07-01,10177
138,윤형준,21N1B,51,81,74,10,22,0,0,5,37,10,0,1,3,0,0,17,2,3,1,.297,.321,.500,.821,.355,107.4,0.15,-0.59,1994-01-31,10178
65,이대호,21롯DH,114,465,420,39,120,11,0,19,188,81,0,0,34,5,3,50,12,0,6,.286,.342,.448,.790,.361,111.3,1.10,1.44,1982-06-21,10179
284,이도윤,21한SS,56,68,63,5,11,0,0,0,11,2,1,2,4,0,0,18,1,1,0,.175,.224,.175,.399,.198,6.6,-0.45,-0.59,1996-10-07,10180
272,이동훈,21한CF,33,62,53,8,10,1,0,0,11,2,2,2,3,2,0,12,2,4,0,.189,.259,.208,.466,.221,21.5,-0.37,-0.51,1996-07-24,10181
172,이명기,21키1B,3,8,6,0,1,0,0,0,1,1,0,0,2,0,0,3,0,0,0,.167,.375,.167,.542,.304,76.8,-0.00,-0.04,2000-01-03,10182
56,이명기,21NLF,56,232,191,30,56,12,0,2,74,14,5,3,37,1,0,27,2,3,0,.293,.411,.387,.798,.381,126.6,1.38,1.03,1987-12-26,10183
142,이병규,21롯,29,43,34,4,8,0,0,0,8,4,0,0,8,1,0,14,2,0,0,.235,.395,.235,.631,.333,94.4,0.14,-0.01,1983-10-09,10184
145,이상호,21L2B,45,68,65,5,20,2,0,0,22,12,2,1,1,0,0,10,2,2,0,.308,.318,.338,.657,.303,75.4,0.11,0.01,1989-02-05,10185
84,이성곤,21삼한1B,62,208,174,17,46,12,2,1,65,24,1,3,29,3,0,53,4,1,1,.264,.377,.374,.750,.359,113.7,0.77,-0.88,1992-03-25,10186
257,이성열,21한DH,46,140,119,15,25,8,0,2,39,20,1,0,18,1,0,36,2,0,2,.210,.314,.328,.642,.308,79.0,-0.27,0.32,1984-07-13,10187
250,이성우,21LC,36,39,33,0,7,0,0,0,7,2,0,0,1,0,0,8,1,5,0,.212,.235,.212,.447,.191,-0.1,-0.23,-0.29,1981-09-01,10188
121,이영빈,21L1B,72,169,148,21,36,9,0,2,51,16,6,3,15,3,0,51,1,2,1,.243,.323,.345,.668,.316,86.6,0.27,0.22,2002-06-17,10189
28,이용규,21키LF,133,547,459,88,136,16,8,1,171,43,16,2,71,5,2,46,5,6,6,.296,.392,.373,.764,.363,112.7,3.10,1.73,1985-08-26,10190
267,이우성,21KLF,65,100,85,12,17,5,0,0,22,4,2,1,13,0,0,17,2,1,1,.200,.303,.259,.562,.277,56.7,-0.35,-0.38,1994-07-17,10191
288,이원석,21한CF,43,130,114,12,20,1,1,1,26,9,4,2,8,2,0,43,1,4,2,.175,.238,.228,.466,.221,22.0,-0.71,-1.37,1999-03-31,10192
60,이원석,21삼3B,131,480,399,40,92,19,0,9,138,59,1,0,60,11,2,80,11,2,8,.231,.341,.346,.687,.327,89.8,1.22,-0.29,1986-10-21,10193
269,이원재,21N1B,31,69,65,3,15,2,0,0,17,7,1,0,1,1,0,11,1,1,1,.231,.250,.262,.512,.241,34.8,-0.36,-0.56,1989-05-20,10194
125,이재원,21LRF,62,171,154,22,38,6,0,5,59,17,5,1,14,2,0,48,2,0,1,.247,.316,.383,.699,.327,96.4,0.25,-0.60,1999-07-17,10195
53,이재원,21SC,107,313,271,29,76,13,0,3,98,30,0,2,29,5,4,47,14,6,2,.280,.358,.362,.720,.334,95.2,1.50,0.18,1988-02-24,10196
219,이재율,21NLF,23,17,15,5,3,2,0,0,5,1,1,1,0,2,0,3,1,0,0,.200,.294,.333,.628,.303,76.4,-0.10,-0.25,1993-05-02,10197
111,이정범,21SLF,19,66,59,8,15,4,0,3,28,9,0,0,7,0,0,15,1,0,0,.254,.333,.475,.808,.368,115.6,0.36,-0.13,1998-04-10,10198
1,이정후,21키CF,123,543,463,78,167,42,6,7,242,84,10,3,62,9,1,37,8,0,9,.361,.438,.523,.961,.441,165.8,6.73,3.17,1998-08-20,10199
141,이정훈,21KDH,41,151,129,14,32,6,0,2,44,14,0,0,19,3,0,33,3,0,0,.248,.358,.341,.699,.340,98.9,0.14,-0.52,1994-12-07,10200
241,이주찬,21롯2B,3,8,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,.000,.000,.000,.000,.000,-126.4,-0.20,-0.09,1998-09-21,10201
239,이주형,21L1B,13,19,16,3,2,0,0,0,2,0,2,1,1,1,0,7,0,1,0,.125,.222,.125,.347,.180,-6.5,-0.18,-0.50,2001-04-02,10202
189,이주형,21키DH,5,11,10,1,1,0,0,1,4,3,0,0,1,0,0,7,0,0,0,.100,.182,.400,.582,.254,55.4,-0.04,0.19,2002-07-05,10203
113,이지영,21키C,108,257,232,29,63,5,1,0,70,30,3,1,19,1,2,17,10,2,3,.272,.326,.302,.627,.299,71.1,0.33,-0.87,1986-02-27,10204
123,이진영,21KCF,17,47,40,8,8,2,1,2,18,5,1,0,3,4,0,22,0,0,0,.200,.319,.450,.769,.353,108.2,0.26,0.00,1997-07-21,10205
240,이창진,21KCF,105,293,249,35,52,8,1,3,71,33,5,0,36,1,0,54,10,4,3,.209,.308,.285,.593,.287,63.8,-0.19,-1.06,1991-03-04,10206
160,이천웅,21LCF,68,211,181,20,36,7,0,2,49,16,3,2,25,3,0,23,11,1,1,.199,.305,.271,.576,.284,65.2,0.03,-0.82,1988-10-20,10207
192,이태훈,21삼,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.05,-0.00,1995-04-03,10208
187,이학주,21삼SS,66,174,155,17,32,8,0,4,52,20,2,2,14,1,0,61,3,4,0,.206,.277,.335,.612,.282,60.5,-0.04,-0.39,1990-11-04,10209
278,이해창,21한C,20,60,54,4,9,3,0,0,12,4,0,1,1,1,0,13,0,3,1,.167,.193,.222,.415,.187,-1.2,-0.41,-0.85,1987-05-11,10210
106,이현석,21SC,39,89,79,7,21,5,0,4,38,19,0,0,4,1,0,29,0,3,2,.266,.302,.481,.783,.338,95.1,0.39,-0.14,1992-06-07,10211
71,이형종,21LDH,90,281,239,32,52,11,0,10,93,34,3,1,34,7,1,65,10,1,0,.218,.332,.389,.721,.338,104.8,0.93,-2.58,1989-06-07,10212
199,이호연,21롯,7,11,9,0,2,0,0,0,2,1,0,0,1,0,0,1,1,0,1,.222,.273,.222,.495,.241,33.3,-0.05,-0.49,1995-06-03,10213
280,이홍구,21KC,37,58,55,4,9,0,0,1,12,7,0,0,2,0,1,28,4,0,1,.164,.190,.218,.408,.184,-6.2,-0.43,-0.48,1990-12-11,10214
93,이흥련,21SC,90,146,127,15,30,3,0,3,42,14,0,0,12,5,0,31,4,2,0,.236,.326,.331,.657,.314,80.7,0.60,-0.02,1989-05-16,10215
291,임종찬,21한RF,42,146,132,9,20,5,0,1,28,8,0,1,12,1,0,49,2,1,0,.152,.228,.212,.440,.217,18.7,-1.06,-1.09,2001-09-28,10216
248,임지열,21키LF,19,30,25,5,3,0,0,0,3,0,0,1,4,1,0,10,1,0,0,.120,.267,.120,.387,.220,19.8,-0.22,-0.14,1995-08-22,10217
177,장규현,21한C,7,12,12,0,3,1,0,0,4,1,0,0,0,0,0,4,1,0,0,.250,.250,.333,.583,.270,54.8,-0.02,-0.05,2002-06-28,10218
143,장두성,21롯CF,43,41,36,12,8,2,1,0,12,4,4,2,5,0,0,12,0,0,0,.222,.317,.333,.650,.312,78.4,0.13,-0.17,1999-09-16,10219
50,장성우,21KC,127,460,385,46,89,13,0,14,144,63,1,2,60,3,3,69,16,9,3,.231,.337,.374,.711,.328,90.6,1.74,1.25,1990-01-17,10220
97,장승현,21두C,92,211,177,18,41,10,0,2,57,27,0,0,19,8,0,50,2,6,1,.232,.332,.322,.654,.310,82.3,0.57,-0.40,1994-03-07,10221
263,장운호,21한RF,102,338,285,36,67,10,0,0,77,28,3,6,36,7,0,77,7,7,3,.235,.332,.270,.603,.295,71.0,-0.30,-1.65,1994-02-20,10222
207,장준원,21L3B,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.07,0.00,1995-11-21,10223
264,장지승,21한RF,24,72,61,7,11,1,0,1,15,5,2,0,7,1,0,24,4,2,1,.180,.271,.246,.517,.249,40.1,-0.30,-0.70,1998-07-04,10224
140,전민수,21N,71,109,98,12,25,3,0,3,37,16,0,0,11,0,1,23,2,0,0,.255,.330,.378,.708,.331,92.6,0.15,0.43,1989-03-18,10225
184,전민재,21두3B,9,5,4,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,1,.250,.200,.250,.450,.192,0.1,-0.02,0.05,1999-06-30,10226
100,전병우,21키3B,114,260,213,35,40,8,0,6,66,31,3,1,33,9,0,82,0,4,1,.188,.320,.310,.630,.304,78.4,0.44,-0.20,1992-10-24,10227
6,전준우,21롯LF,144,619,552,88,192,46,0,7,259,92,6,3,53,5,0,71,10,1,8,.348,.405,.469,.874,.406,140.4,4.93,4.09,1986-02-25,10228
232,정민규,21한3B,6,17,16,1,2,1,0,0,3,0,0,0,1,0,0,6,1,0,0,.125,.177,.188,.364,.178,-7.8,-0.16,-0.21,2003-01-10,10229
147,정범모,21NC,19,23,19,2,4,1,0,1,8,5,0,0,2,1,0,4,2,1,0,.211,.318,.421,.739,.328,89.6,0.10,-0.14,1987-03-26,10230
155,정보근,21롯C,11,20,18,0,5,0,0,0,5,0,0,1,2,0,0,2,1,0,0,.278,.350,.278,.628,.313,80.9,0.04,-0.28,1999-08-31,10231
204,정상호,21SC,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.06,-0.02,1982-12-24,10232
55,정수빈,21두CF,104,351,313,50,81,19,4,3,117,37,12,7,29,3,1,50,7,4,2,.259,.326,.374,.700,.325,91.6,1.47,-0.07,1990-10-07,10233
11,정은원,21한2B,139,608,495,85,140,22,5,6,190,39,19,11,105,1,1,105,9,4,3,.283,.407,.384,.791,.379,126.6,4.47,1.76,2000-01-17,10234
224,정의윤,21SLF,62,178,165,21,38,2,0,7,61,24,0,0,11,0,1,37,5,0,2,.230,.275,.370,.645,.295,67.3,-0.13,-0.04,1986-07-25,10235
102,정주현,21L2B,73,214,181,26,43,7,1,3,61,10,3,3,24,0,0,32,4,9,0,.238,.327,.337,.664,.306,79.7,0.43,-0.70,1990-10-13,10236
230,정진기,21SNLF,88,206,193,27,43,8,0,6,69,21,6,3,10,1,0,39,2,2,0,.223,.265,.358,.622,.286,62.1,-0.16,-0.26,1992-10-10,10237
279,정진호,21한LF,50,167,145,9,33,9,0,0,42,15,4,1,15,1,1,22,5,4,2,.228,.301,.290,.590,.277,58.7,-0.42,-0.73,1988-10-02,10238
124,정현,21SN2B,68,149,117,14,26,5,1,0,33,7,0,1,17,7,0,24,7,8,0,.222,.355,.282,.637,.304,76.1,0.25,-0.67,1994-06-01,10239
39,정훈,21롯1B,135,561,486,70,142,27,1,14,213,79,8,1,68,3,8,89,6,1,3,.292,.380,.438,.819,.377,121.9,2.46,0.83,1987-07-18,10240
68,조수행,21두CF,115,104,84,34,24,2,1,1,31,8,21,4,16,3,0,26,1,1,0,.286,.418,.369,.787,.381,128.1,1.01,0.48,1993-08-30,10241
107,조용호,21KLF,138,515,428,71,101,14,1,0,117,48,12,9,74,3,0,85,8,5,5,.236,.349,.273,.622,.310,77.7,0.39,0.21,1989-09-09,10242
153,조한민,21한RF,52,145,127,15,25,6,2,5,50,18,3,2,13,2,0,57,4,1,2,.197,.278,.394,.672,.305,77.6,0.05,-0.92,2000-10-20,10243
198,지석훈,21N2B,28,43,34,6,5,1,0,0,6,2,0,0,6,2,0,12,0,0,1,.147,.302,.176,.479,.259,45.6,-0.05,0.02,1984-03-17,10244
67,지시완,21롯C,73,187,166,23,40,9,0,7,70,26,0,0,14,5,0,54,6,2,0,.241,.319,.422,.741,.340,96.8,1.04,0.01,1994-04-10,10245
35,채은성,21LRF,110,448,387,59,107,20,0,16,175,82,4,2,38,16,2,80,9,0,7,.276,.359,.452,.812,.373,128.2,2.86,2.60,1990-02-06,10246
133,천성호,21K2B,41,47,42,13,12,1,0,0,13,4,1,0,3,2,0,9,0,0,0,.286,.362,.310,.671,.332,92.1,0.19,0.25,1997-10-30,10247
270,최민재,21롯LF,21,27,25,2,2,1,0,0,3,2,2,0,2,0,0,8,1,0,0,.080,.148,.120,.268,.139,-35.2,-0.37,-0.47,1994-01-08,10248
194,최민창,21LCF,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.05,0.00,1996-04-16,10249
223,최보성,21N3B,10,14,12,0,3,0,0,0,3,1,0,1,0,1,0,5,0,1,0,.250,.308,.250,.558,.260,48.3,-0.13,0.22,1998-10-16,10250
229,최승민,21NCF,48,34,31,8,7,1,0,0,8,1,4,3,1,0,0,7,0,2,0,.226,.250,.258,.508,.230,27.3,-0.15,-0.18,1996-07-01,10251
114,최영진,21삼3B,44,63,57,9,16,1,2,1,24,6,1,0,5,1,0,12,1,0,0,.281,.349,.421,.770,.360,114.0,0.32,-0.08,1988-05-10,10252
98,최용제,21두C,79,119,104,7,29,3,0,0,32,15,0,0,11,2,0,21,0,1,1,.279,.356,.308,.664,.324,89.2,0.54,0.50,1991-07-12,10253
195,최우재,21N,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,.000,-126.4,-0.05,-0.01,1997-04-11,10254
26,최원준,21KRF,143,668,589,82,174,21,6,4,219,44,40,13,61,11,0,68,7,4,3,.295,.371,.372,.742,.354,108.6,3.14,1.24,1997-03-23,10255
120,최인호,21한LF,49,164,136,17,28,6,0,4,46,23,2,1,24,2,0,43,1,0,2,.206,.329,.338,.668,.321,87.7,0.27,-0.76,2000-01-30,10256
17,최재훈,21한C,116,467,375,52,103,21,0,7,145,44,3,2,71,13,2,68,16,5,3,.275,.405,.387,.791,.376,124.6,3.67,1.03,1989-08-27,10257
3,최정,21S3B,134,555,436,92,121,17,1,35,245,100,8,6,84,22,3,102,9,1,12,.278,.410,.562,.972,.431,155.9,6.14,5.40,1987-02-28,10258
134,최정민,21KCF,39,19,15,5,5,0,0,0,5,1,2,3,3,1,0,7,1,0,0,.333,.474,.333,.807,.409,143.1,0.18,-0.23,1989-06-02,10259
253,최정용,21K2B,53,65,52,7,10,1,0,0,11,2,2,0,9,0,0,16,1,3,1,.192,.307,.212,.518,.255,42.0,-0.23,-0.66,1996-10-24,10260
81,최정원,21N2B,72,238,212,40,60,4,2,0,68,8,10,7,18,4,0,40,0,4,0,.283,.350,.321,.671,.322,88.4,0.80,-0.60,2000-06-24,10261
165,최종은,21롯2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,0.00,1998-10-12,10262
40,최주환,21S2B,116,470,406,50,104,16,0,18,174,67,2,1,53,9,4,84,7,0,2,.256,.353,.429,.782,.361,111.2,2.36,-0.51,1988-02-28,10263
43,최지훈,21SCF,136,534,461,75,121,19,6,5,167,45,26,6,51,8,0,71,6,8,6,.262,.342,.362,.705,.330,93.8,2.12,-0.19,1997-07-23,10264
127,최항,21S2B,34,79,69,5,19,2,1,0,23,7,1,0,6,2,1,16,4,1,1,.275,.346,.333,.680,.319,86.6,0.22,-0.25,1994-01-03,10265
130,최형우,21KDH,104,446,373,52,87,15,1,12,140,55,0,0,67,4,10,67,9,0,2,.233,.354,.375,.730,.339,99.8,0.20,1.38,1983-12-16,10266
14,추신수,21SDH,137,580,461,84,122,19,2,21,208,69,25,9,103,12,4,123,8,0,4,.265,.409,.451,.860,.400,137.4,3.89,4.59,1982-07-13,10267
89,추재현,21롯CF,95,300,262,37,66,15,0,5,96,26,4,3,26,7,0,57,3,5,0,.252,.336,.366,.702,.329,90.1,0.64,-0.53,1999-02-22,10268
116,크레익,21키1B,61,247,222,25,55,12,0,6,85,30,0,1,20,4,1,43,4,0,1,.248,.320,.383,.703,.328,93.9,0.30,-0.52,1994-11-16,10269
78,터커,21KLF,127,539,468,42,111,24,1,9,164,59,0,0,61,8,1,66,12,0,2,.237,.334,.350,.684,.327,91.0,0.81,0.02,1990-07-06,10270
88,페레즈,21한1B,59,252,225,26,60,15,1,5,92,33,4,5,17,4,0,52,4,0,6,.267,.321,.409,.730,.337,98.6,0.69,-0.50,1991-03-26,10271
31,페르난데스,21두DH,141,617,540,73,170,24,0,15,239,81,0,2,65,6,3,35,25,0,6,.315,.391,.443,.833,.389,136.6,3.07,1.20,1988-04-27,10272
188,프레이타스,21키DH,43,148,139,13,36,10,0,2,52,14,0,0,7,1,0,29,7,0,1,.259,.297,.374,.671,.313,81.8,-0.04,-0.65,1989-03-18,10273
25,피렐라,21삼DH,140,621,553,102,158,25,2,29,274,97,9,6,57,8,2,89,8,0,3,.286,.359,.495,.855,.389,128.7,3.26,3.27,1989-11-21,10274
29,하주석,21한SS,138,594,525,84,143,27,3,10,206,68,23,6,51,10,1,135,9,5,3,.272,.346,.392,.739,.345,104.4,3.09,-1.37,1994-02-25,10275
24,한동희,21롯3B,129,496,424,54,113,24,0,17,188,69,0,1,61,6,1,95,21,1,4,.267,.364,.443,.807,.373,119.0,3.28,0.85,1999-06-01,10276
136,한석현,21LLF,16,26,21,5,6,2,1,0,10,1,2,0,3,1,0,7,1,0,1,.286,.385,.476,.861,.391,133.6,0.16,-0.15,1994-05-17,10277
94,한승택,21KC,82,239,203,17,44,7,0,3,60,16,0,0,28,3,0,61,6,5,0,.217,.321,.296,.616,.297,70.2,0.59,-1.16,1994-06-21,10278
13,한유섬,21SRF,135,519,442,71,123,18,1,31,236,95,1,0,60,10,4,96,11,1,6,.278,.373,.534,.907,.404,138.6,3.90,1.99,1989-08-09,10279
44,허경민,21두3B,136,518,468,61,130,24,1,5,171,59,5,7,36,8,1,35,21,3,3,.278,.338,.365,.703,.332,96.8,2.07,-0.83,1990-08-26,10280
231,허관회,21한C,28,79,63,4,12,0,0,0,12,2,0,0,13,1,0,22,1,0,2,.190,.329,.190,.520,.277,58.2,-0.16,-0.57,1999-02-12,10281
119,허도환,21KC,62,125,105,8,29,6,0,2,41,21,0,0,8,2,0,28,3,10,0,.276,.339,.390,.730,.317,82.1,0.29,0.19,1984-07-31,10282
271,허정협,21키LF,28,51,45,4,7,0,0,0,7,2,0,0,6,0,0,10,1,0,0,.156,.255,.156,.411,.218,19.0,-0.37,0.11,1990-02-17,10283
85,호잉,21KRF,68,294,259,32,62,11,1,11,108,52,5,2,26,4,2,52,2,0,5,.239,.313,.417,.730,.332,93.5,0.76,-0.01,1989-05-18,10284
0,홍창기,21LCF,144,651,524,103,172,26,2,4,214,52,23,8,110,15,4,95,6,0,2,.328,.456,.408,.865,.417,152.6,6.98,4.47,1993-11-21,10285
265,홍현빈,21KLF,43,12,11,8,2,0,0,0,2,0,0,1,0,0,0,8,0,1,0,.182,.182,.182,.364,.160,-24.0,-0.32,0.13,1997-08-29,10286
164,황경태,21두2B,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,,0.00,0.00,1996-08-17,10287
144,황대인,21K1B,86,308,282,30,67,10,1,13,118,45,0,0,18,2,0,62,8,1,5,.238,.283,.418,.702,.317,85.1,0.11,0.01,1996-02-10,10288
200,황윤호,21K3B,6,19,17,2,3,0,0,0,3,0,0,0,1,1,0,3,1,0,0,.176,.263,.176,.440,.231,26.1,-0.06,-0.18,1993-09-22,10289
33,황재균,21K3B,117,507,453,74,132,16,2,10,182,56,11,4,46,3,1,92,11,1,4,.291,.358,.402,.760,.356,108.4,2.93,-0.32,1987-07-28,10290
112,힐리,21한1B,67,268,249,27,64,11,1,7,98,37,2,1,16,2,0,58,6,0,1,.257,.306,.394,.700,.325,91.0,0.35,-0.57,1992-01-10,10291
