,날짜,best,best_birth,worst,worst_birth
3,09-24,노시환,2000-12-03,김지수,1996-10-29
4,09-24,박계범,1996-01-11,허경민,1990-08-26
5,09-24,이대호,1982-06-21,김진욱,2002-07-05
0,09-23,백정현,1987-07-13,이민호,2001-08-30
1,09-23,전민수,1989-03-18,알테어,1991-01-14
2,09-23,이재원,1988-02-24,박세웅,1995-11-30
3,09-23,배제성,1996-09-29,이성곤,1992-03-25
4,09-23,곽빈,1999-05-28,터커,1990-07-06
0,09-22,로켓,1994-05-03,송명기,2000-08-09
1,09-22,김성현,1987-03-09,요키시,1989-07-29
2,09-22,이상호,1989-02-05,카펜터,1990-08-22
3,09-22,터커,1990-07-06,소형준,2001-09-16
4,09-22,전준우,1986-02-25,노성호,1989-10-22
0,09-21,박세혁,1990-01-09,신민혁,1999-02-04
1,09-21,송성문,1996-08-29,정찬헌,1990-01-26
2,09-21,노시환,2000-12-03,켈리,1989-10-04
3,09-21,강백호,1999-07-29,박준표,1992-06-26
4,09-21,김동엽,1990-07-24,프랑코,1992-12-29
0,09-21,박세혁,1990-01-09,신민혁,1999-02-04
1,09-21,송성문,1996-08-29,정찬헌,1990-01-26
2,09-21,노시환,2000-12-03,켈리,1989-10-04
3,09-21,강백호,1999-07-29,박준표,1992-06-26
4,09-21,김동엽,1990-07-24,프랑코,1992-12-29
0,09-19,고우석,1998-08-06,장현식,1995-02-24
1,09-19,양석환,1991-07-15,김동혁,2001-12-27
2,09-19,한유섬,1989-08-09,로맥,1985-09-30
3,09-19,킹엄,1991-11-08,하주석,1994-02-25
4,09-19,데스파이네,1987-04-04,김영규,2000-02-10
0,09-18,황대인,1996-02-10,윤중현,1995-04-25
1,09-18,김인태,1994-07-03,정수빈,1990-10-07
2,09-18,오재일,1986-10-29,이태양,1990-07-03
3,09-18,김태연,1997-06-10,서준원,2000-11-05
4,09-18,고영표,1991-09-16,루친스키,1988-12-30
0,09-17,곽빈,1999-05-28,오원석,2001-04-23
1,09-17,노시환,2000-12-03,최원태,1997-01-07
2,09-17,스트레일리,1988-12-01,배정대,1995-06-12
3,09-17,백정현,1987-07-13,한승혁,1993-01-03
4,09-17,양의지,1987-06-05,배재준,1994-11-24
0,09-16,페르난데스,1988-04-27,최정,1987-02-28
1,09-16,김웅빈,1996-02-09,정우람,1985-06-01
2,09-16,호잉,1989-05-18,박세웅,1995-11-30
3,09-16,임기영,1993-04-16,이상민,1990-11-04
4,09-16,송명기,2000-08-09,김민성,1988-12-17
0,09-15,김재환,1988-09-22,쿠에바스,1990-10-14
1,09-15,노시환,2000-12-03,가빌리오,1990-05-22
2,09-15,켈리,1989-10-04,이학주,1990-11-04
